个体ID,rho_initial,rho_final,rho_change,rho_change_pct,tau_initial,tau_final,tau_change,tau_change_pct,reward_initial,reward_final,reward_change,reward_change_pct
59,0.03292663538136708,0.03592379303862661,0.002997157657259532,9.102532410449687,0.9860702753067015,0.8954977989196777,-0.09057247638702381,-9.185194874559288,2.379502058029175,2.49476432800293,0.11526226997375533,4.843965971150343
60,0.02856247728646413,0.03501561705480667,0.0064531397683425425,22.593067483683253,0.9290696382522584,0.8892753720283508,-0.03979426622390758,-4.283238261748335,2.370641946792603,2.5068039894104,0.13616204261779696,5.743678112252233
61,0.02944302307000855,0.03707459572292757,0.007631572652919017,25.919799861491605,0.9758870601654052,0.8668842911720276,-0.10900276899337757,-11.169609009356314,2.369341373443604,2.493653774261475,0.1243124008178711,5.246707047418637
62,0.02668099507798192,0.03633458647723194,0.009653591399250018,36.181526854733,0.949047327041626,0.913447082042694,-0.035600244998931996,-3.7511559207384546,2.379122734069824,2.499575138092041,0.1204524040222168,5.0628915565094035
63,0.02641138012775799,0.03527083859747314,0.00885945846971515,33.544095109229005,0.9871463179588318,0.8567875623703003,-0.1303587555885315,-13.205616352607214,2.377211570739746,2.493788480758667,0.1165769100189209,4.903934990634604
64,0.03243757746718259,0.02942497130197967,-0.003012606165202922,-9.287395670193941,0.9574896693229676,0.8559451103210449,-0.10154455900192272,-10.60529029767224,2.370756864547729,2.497515916824341,0.12675905227661177,5.346775714210309
65,0.03406872008571247,0.03450025986824351,0.0004315397825310416,1.2666744786576767,0.957230508327484,0.9016819596290588,-0.05554854869842518,-5.803048295596229,2.362629413604736,2.505582094192505,0.142952680587769,6.050575674907125
66,0.029783969635259,0.03533262944041237,0.005548659805153372,18.629685274003005,0.9439880847930908,0.8814351558685303,-0.06255292892456055,-6.626453228831938,2.370980978012085,2.503547430038452,0.1325664520263672,5.591206899412395
67,0.03301059869367607,0.03291568206796702,-9.491662570904752e-05,-0.2875337905556707,0.9644390344619752,0.8436534404754639,-0.12078559398651134,-12.523922163093818,2.378071069717407,2.497764587402344,0.11969351768493741,5.0332186959896426
68,0.0310849080751429,0.03419247330218306,0.003107565227040157,9.997022412059591,0.9456501007080078,0.8890396356582642,-0.05661046504974365,-5.986407129588357,2.372111320495605,2.497790813446045,0.1256794929504399,5.298212266200967
69,0.02806464073618463,0.03110232454996766,0.00303768381378303,10.823882772411364,0.942810595035553,0.926518976688385,-0.01629161834716797,-1.7279842242920083,2.37711238861084,2.496469259262085,0.11935687065124512,5.0210865596050365
70,0.03108418681652524,0.03403668365869224,0.0029524968421669982,9.498388552334163,0.9715320467948914,0.8795994520187378,-0.09193259477615356,-9.462641513416003,2.372465848922729,2.501683950424194,0.12921810150146484,5.446573722447436
71,0.0346141096993979,0.0365176062264814,0.0019034965270834994,5.49919250737398,0.967901051044464,0.9242966771125792,-0.043604373931884766,-4.505044589509557,2.371409893035889,2.504261255264282,0.13285136222839267,5.602210002519462
72,0.02989252188267014,0.04126717871361189,0.011374656830941753,38.05184746736302,0.9503600001335144,0.8384290337562561,-0.1119309663772583,-11.777743840390306,2.358445882797241,2.495888948440552,0.137443065643311,5.827696393028797
73,0.03469393096744202,0.03196187223559917,-0.0027320587318428527,-7.874745396843934,0.959571361541748,0.8928465247154236,-0.06672483682632446,-6.953608611152935,2.363788604736328,2.497561693191528,0.13377308845519975,5.659266153798962
74,0.02214076468773076,0.03492807778919105,0.012787313101460286,57.75461363602468,0.9852533340454102,0.8829699158668518,-0.10228341817855835,-10.381433347562172,2.378982067108154,2.501384258270264,0.12240219116211026,5.145149803962166
75,0.03246570751312567,0.03211559284988438,-0.00035011466324128687,-1.0784137789072912,0.9821321964263916,0.9131255149841307,-0.06900668144226085,-7.026211104100866,2.371977806091309,2.499055147171021,0.12707734107971191,5.357442247282987
76,0.03026114120471451,0.03472230143310023,0.004461160228385722,14.742207500392283,0.9936760067939758,0.8829339742660522,-0.11074203252792358,-11.144682146973116,2.370727300643921,2.502097129821777,0.131369829177856,5.541330255157319
77,0.0291029779486024,0.03432880375660042,0.005225825807998019,17.9563267278941,0.9743856191635132,0.86064213514328,-0.11374348402023315,-11.673354140620345,2.387502193450928,2.501229524612427,0.11372733116149902,4.763444049327385
78,0.03027528232960651,0.037498676486298,0.007223394156691487,23.859048044706938,0.9507036805152892,0.8725572228431702,-0.07814645767211903,-8.219854332504847,2.375316381454468,2.499785661697388,0.12446928024291992,5.240113747150774
79,0.02403729325619732,0.03792235873517123,0.013885065478973911,57.76467978728864,0.971436321735382,0.8561778664588928,-0.11525845527648915,-11.864746324348927,2.374072551727295,2.503189563751221,0.12911701202392623,5.438629578948
